 E (mV), i (mA), E (mV)-20, i (mA)-20, E (mV)-40, i (mA)-40, E (mV)-60, i (mA)-60, E (mV)-80, i (mA)-80, E (mV)-100, i (mA)-100, E (mV)-150, i (mA)-150, E (mV)-200, i (mA)-200, E (mV)-250, i (mA)-250, E (mV)-300, i (mA)-300, E (mV)-350, i (mA)-350, E (mV)-400, i (mA)-400, E (mV)-450, i (mA)-450, E (mV)-500, i (mA)-500, E (mV)-600, i (mA)-600, E (mV)-700, i (mA)-700, E (mV)-800, i (mA)-800, E (mV)-900, i (mA)-900, E (mV)-1000, i (mA)-1000
105.9,3.28E-02,105900,3.28E+04,105900000,3.28E+10,1.059E+11,3.28E+16,1.059E+14,3.28E+22,1.059E+17,3.28E+28,1.059E+20,3.28E+34,1.059E+23,3.28E+40,1.059E+26,3.28E+46,1.059E+29,3.28E+52,1.059E+32,3.28E+58,1.059E+35,3.28E+64,1.059E+38,3.28E+70,1.059E+41,3.28E+76,1.059E+44,3.28E+82,1.059E+47,3.28E+88,1.059E+50,3.28E+94,1.059E+53,3.28E+100,1.059E+56,3.28E+106
115.84,3.37E-02,115840,3.37E+04,115840000,3.37E+10,1.1584E+11,3.37E+16,1.1584E+14,3.37E+22,1.1584E+17,3.37E+28,1.1584E+20,3.37E+34,1.1584E+23,3.37E+40,1.1584E+26,3.37E+46,1.1584E+29,3.37E+52,1.1584E+32,3.37E+58,1.1584E+35,3.37E+64,1.1584E+38,3.37E+70,1.1584E+41,3.37E+76,1.1584E+44,3.37E+82,1.1584E+47,3.37E+88,1.1584E+50,3.37E+94,1.1584E+53,3.37E+100,1.1584E+56,3.37E+106
125.82,3.42E-02,125820,3.42E+04,125820000,3.42E+10,1.2582E+11,3.42E+16,1.2582E+14,3.42E+22,1.2582E+17,3.42E+28,1.2582E+20,3.42E+34,1.2582E+23,3.42E+40,1.2582E+26,3.42E+46,1.2582E+29,3.42E+52,1.2582E+32,3.42E+58,1.2582E+35,3.42E+64,1.2582E+38,3.42E+70,1.2582E+41,3.42E+76,1.2582E+44,3.42E+82,1.2582E+47,3.42E+88,1.2582E+50,3.42E+94,1.2582E+53,3.42E+100,1.2582E+56,3.42E+106
135.77,3.47E-02,135770,3.47E+04,135770000,3.47E+10,1.3577E+11,3.47E+16,1.3577E+14,3.47E+22,1.3577E+17,3.47E+28,1.3577E+20,3.47E+34,1.3577E+23,3.47E+40,1.3577E+26,3.47E+46,1.3577E+29,3.47E+52,1.3577E+32,3.47E+58,1.3577E+35,3.47E+64,1.3577E+38,3.47E+70,1.3577E+41,3.47E+76,1.3577E+44,3.47E+82,1.3577E+47,3.47E+88,1.3577E+50,3.47E+94,1.3577E+53,3.47E+100,1.3577E+56,3.47E+106
145.75,3.53E-02,145750,3.53E+04,145750000,3.53E+10,1.4575E+11,3.53E+16,1.4575E+14,3.53E+22,1.4575E+17,3.53E+28,1.4575E+20,3.53E+34,1.4575E+23,3.53E+40,1.4575E+26,3.53E+46,1.4575E+29,3.53E+52,1.4575E+32,3.53E+58,1.4575E+35,3.53E+64,1.4575E+38,3.53E+70,1.4575E+41,3.53E+76,1.4575E+44,3.53E+82,1.4575E+47,3.53E+88,1.4575E+50,3.53E+94,1.4575E+53,3.53E+100,1.4575E+56,3.53E+106
155.7,3.60E-02,155700,3.60E+04,155700000,3.60E+10,1.557E+11,3.60E+16,1.557E+14,3.60E+22,1.557E+17,3.60E+28,1.557E+20,3.60E+34,1.557E+23,3.60E+40,1.557E+26,3.60E+46,1.557E+29,3.60E+52,1.557E+32,3.60E+58,1.557E+35,3.60E+64,1.557E+38,3.60E+70,1.557E+41,3.60E+76,1.557E+44,3.60E+82,1.557E+47,3.60E+88,1.557E+50,3.60E+94,1.557E+53,3.60E+100,1.557E+56,3.60E+106
165.68,3.66E-02,165680,3.66E+04,165680000,3.66E+10,1.6568E+11,3.66E+16,1.6568E+14,3.66E+22,1.6568E+17,3.66E+28,1.6568E+20,3.66E+34,1.6568E+23,3.66E+40,1.6568E+26,3.66E+46,1.6568E+29,3.66E+52,1.6568E+32,3.66E+58,1.6568E+35,3.66E+64,1.6568E+38,3.66E+70,1.6568E+41,3.66E+76,1.6568E+44,3.66E+82,1.6568E+47,3.66E+88,1.6568E+50,3.66E+94,1.6568E+53,3.66E+100,1.6568E+56,3.66E+106
175.63,3.72E-02,175630,3.72E+04,175630000,3.72E+10,1.7563E+11,3.72E+16,1.7563E+14,3.72E+22,1.7563E+17,3.72E+28,1.7563E+20,3.72E+34,1.7563E+23,3.72E+40,1.7563E+26,3.72E+46,1.7563E+29,3.72E+52,1.7563E+32,3.72E+58,1.7563E+35,3.72E+64,1.7563E+38,3.72E+70,1.7563E+41,3.72E+76,1.7563E+44,3.72E+82,1.7563E+47,3.72E+88,1.7563E+50,3.72E+94,1.7563E+53,3.72E+100,1.7563E+56,3.72E+106
185.61,3.80E-02,185610,3.80E+04,185610000,3.80E+10,1.8561E+11,3.80E+16,1.8561E+14,3.80E+22,1.8561E+17,3.80E+28,1.8561E+20,3.80E+34,1.8561E+23,3.80E+40,1.8561E+26,3.80E+46,1.8561E+29,3.80E+52,1.8561E+32,3.80E+58,1.8561E+35,3.80E+64,1.8561E+38,3.80E+70,1.8561E+41,3.80E+76,1.8561E+44,3.80E+82,1.8561E+47,3.80E+88,1.8561E+50,3.80E+94,1.8561E+53,3.80E+100,1.8561E+56,3.80E+106
195.56,3.92E-02,195560,3.92E+04,195560000,3.92E+10,1.9556E+11,3.92E+16,1.9556E+14,3.92E+22,1.9556E+17,3.92E+28,1.9556E+20,3.92E+34,1.9556E+23,3.92E+40,1.9556E+26,3.92E+46,1.9556E+29,3.92E+52,1.9556E+32,3.92E+58,1.9556E+35,3.92E+64,1.9556E+38,3.92E+70,1.9556E+41,3.92E+76,1.9556E+44,3.92E+82,1.9556E+47,3.92E+88,1.9556E+50,3.92E+94,1.9556E+53,3.92E+100,1.9556E+56,3.92E+106
205.54,4.02E-02,205540,4.02E+04,205540000,4.02E+10,2.0554E+11,4.02E+16,2.0554E+14,4.02E+22,2.0554E+17,4.02E+28,2.0554E+20,4.02E+34,2.0554E+23,4.02E+40,2.0554E+26,4.02E+46,2.0554E+29,4.02E+52,2.0554E+32,4.02E+58,2.0554E+35,4.02E+64,2.0554E+38,4.02E+70,2.0554E+41,4.02E+76,2.0554E+44,4.02E+82,2.0554E+47,4.02E+88,2.0554E+50,4.02E+94,2.0554E+53,4.02E+100,2.0554E+56,4.02E+106
215.48,4.11E-02,215480,4.11E+04,215480000,4.11E+10,2.1548E+11,4.11E+16,2.1548E+14,4.11E+22,2.1548E+17,4.11E+28,2.1548E+20,4.11E+34,2.1548E+23,4.11E+40,2.1548E+26,4.11E+46,2.1548E+29,4.11E+52,2.1548E+32,4.11E+58,2.1548E+35,4.11E+64,2.1548E+38,4.11E+70,2.1548E+41,4.11E+76,2.1548E+44,4.11E+82,2.1548E+47,4.11E+88,2.1548E+50,4.11E+94,2.1548E+53,4.11E+100,2.1548E+56,4.11E+106
225.46,4.25E-02,225460,4.25E+04,225460000,4.25E+10,2.2546E+11,4.25E+16,2.2546E+14,4.25E+22,2.2546E+17,4.25E+28,2.2546E+20,4.25E+34,2.2546E+23,4.25E+40,2.2546E+26,4.25E+46,2.2546E+29,4.25E+52,2.2546E+32,4.25E+58,2.2546E+35,4.25E+64,2.2546E+38,4.25E+70,2.2546E+41,4.25E+76,2.2546E+44,4.25E+82,2.2546E+47,4.25E+88,2.2546E+50,4.25E+94,2.2546E+53,4.25E+100,2.2546E+56,4.25E+106
235.41,4.34E-02,235410,4.34E+04,235410000,4.34E+10,2.3541E+11,4.34E+16,2.3541E+14,4.34E+22,2.3541E+17,4.34E+28,2.3541E+20,4.34E+34,2.3541E+23,4.34E+40,2.3541E+26,4.34E+46,2.3541E+29,4.34E+52,2.3541E+32,4.34E+58,2.3541E+35,4.34E+64,2.3541E+38,4.34E+70,2.3541E+41,4.34E+76,2.3541E+44,4.34E+82,2.3541E+47,4.34E+88,2.3541E+50,4.34E+94,2.3541E+53,4.34E+100,2.3541E+56,4.34E+106
245.39,4.44E-02,245390,4.44E+04,245390000,4.44E+10,2.4539E+11,4.44E+16,2.4539E+14,4.44E+22,2.4539E+17,4.44E+28,2.4539E+20,4.44E+34,2.4539E+23,4.44E+40,2.4539E+26,4.44E+46,2.4539E+29,4.44E+52,2.4539E+32,4.44E+58,2.4539E+35,4.44E+64,2.4539E+38,4.44E+70,2.4539E+41,4.44E+76,2.4539E+44,4.44E+82,2.4539E+47,4.44E+88,2.4539E+50,4.44E+94,2.4539E+53,4.44E+100,2.4539E+56,4.44E+106
255.37,4.53E-02,255370,4.53E+04,255370000,4.53E+10,2.5537E+11,4.53E+16,2.5537E+14,4.53E+22,2.5537E+17,4.53E+28,2.5537E+20,4.53E+34,2.5537E+23,4.53E+40,2.5537E+26,4.53E+46,2.5537E+29,4.53E+52,2.5537E+32,4.53E+58,2.5537E+35,4.53E+64,2.5537E+38,4.53E+70,2.5537E+41,4.53E+76,2.5537E+44,4.53E+82,2.5537E+47,4.53E+88,2.5537E+50,4.53E+94,2.5537E+53,4.53E+100,2.5537E+56,4.53E+106
265.32,4.62E-02,265320,4.62E+04,265320000,4.62E+10,2.6532E+11,4.62E+16,2.6532E+14,4.62E+22,2.6532E+17,4.62E+28,2.6532E+20,4.62E+34,2.6532E+23,4.62E+40,2.6532E+26,4.62E+46,2.6532E+29,4.62E+52,2.6532E+32,4.62E+58,2.6532E+35,4.62E+64,2.6532E+38,4.62E+70,2.6532E+41,4.62E+76,2.6532E+44,4.62E+82,2.6532E+47,4.62E+88,2.6532E+50,4.62E+94,2.6532E+53,4.62E+100,2.6532E+56,4.62E+106
275.3,4.70E-02,275300,4.70E+04,275300000,4.70E+10,2.753E+11,4.70E+16,2.753E+14,4.70E+22,2.753E+17,4.70E+28,2.753E+20,4.70E+34,2.753E+23,4.70E+40,2.753E+26,4.70E+46,2.753E+29,4.70E+52,2.753E+32,4.70E+58,2.753E+35,4.70E+64,2.753E+38,4.70E+70,2.753E+41,4.70E+76,2.753E+44,4.70E+82,2.753E+47,4.70E+88,2.753E+50,4.70E+94,2.753E+53,4.70E+100,2.753E+56,4.70E+106
285.25,4.78E-02,285250,4.78E+04,285250000,4.78E+10,2.8525E+11,4.78E+16,2.8525E+14,4.78E+22,2.8525E+17,4.78E+28,2.8525E+20,4.78E+34,2.8525E+23,4.78E+40,2.8525E+26,4.78E+46,2.8525E+29,4.78E+52,2.8525E+32,4.78E+58,2.8525E+35,4.78E+64,2.8525E+38,4.78E+70,2.8525E+41,4.78E+76,2.8525E+44,4.78E+82,2.8525E+47,4.78E+88,2.8525E+50,4.78E+94,2.8525E+53,4.78E+100,2.8525E+56,4.78E+106
295.23,4.88E-02,295230,4.88E+04,295230000,4.88E+10,2.9523E+11,4.88E+16,2.9523E+14,4.88E+22,2.9523E+17,4.88E+28,2.9523E+20,4.88E+34,2.9523E+23,4.88E+40,2.9523E+26,4.88E+46,2.9523E+29,4.88E+52,2.9523E+32,4.88E+58,2.9523E+35,4.88E+64,2.9523E+38,4.88E+70,2.9523E+41,4.88E+76,2.9523E+44,4.88E+82,2.9523E+47,4.88E+88,2.9523E+50,4.88E+94,2.9523E+53,4.88E+100,2.9523E+56,4.88E+106
305.21,4.95E-02,305210,4.95E+04,305210000,4.95E+10,3.0521E+11,4.95E+16,3.0521E+14,4.95E+22,3.0521E+17,4.95E+28,3.0521E+20,4.95E+34,3.0521E+23,4.95E+40,3.0521E+26,4.95E+46,3.0521E+29,4.95E+52,3.0521E+32,4.95E+58,3.0521E+35,4.95E+64,3.0521E+38,4.95E+70,3.0521E+41,4.95E+76,3.0521E+44,4.95E+82,3.0521E+47,4.95E+88,3.0521E+50,4.95E+94,3.0521E+53,4.95E+100,3.0521E+56,4.95E+106
315.16,5.05E-02,315160,5.05E+04,315160000,5.05E+10,3.1516E+11,5.05E+16,3.1516E+14,5.05E+22,3.1516E+17,5.05E+28,3.1516E+20,5.05E+34,3.1516E+23,5.05E+40,3.1516E+26,5.05E+46,3.1516E+29,5.05E+52,3.1516E+32,5.05E+58,3.1516E+35,5.05E+64,3.1516E+38,5.05E+70,3.1516E+41,5.05E+76,3.1516E+44,5.05E+82,3.1516E+47,5.05E+88,3.1516E+50,5.05E+94,3.1516E+53,5.05E+100,3.1516E+56,5.05E+106
325.13,5.17E-02,325130,5.17E+04,325130000,5.17E+10,3.2513E+11,5.17E+16,3.2513E+14,5.17E+22,3.2513E+17,5.17E+28,3.2513E+20,5.17E+34,3.2513E+23,5.17E+40,3.2513E+26,5.17E+46,3.2513E+29,5.17E+52,3.2513E+32,5.17E+58,3.2513E+35,5.17E+64,3.2513E+38,5.17E+70,3.2513E+41,5.17E+76,3.2513E+44,5.17E+82,3.2513E+47,5.17E+88,3.2513E+50,5.17E+94,3.2513E+53,5.17E+100,3.2513E+56,5.17E+106
335.08,5.26E-02,335080,5.26E+04,335080000,5.26E+10,3.3508E+11,5.26E+16,3.3508E+14,5.26E+22,3.3508E+17,5.26E+28,3.3508E+20,5.26E+34,3.3508E+23,5.26E+40,3.3508E+26,5.26E+46,3.3508E+29,5.26E+52,3.3508E+32,5.26E+58,3.3508E+35,5.26E+64,3.3508E+38,5.26E+70,3.3508E+41,5.26E+76,3.3508E+44,5.26E+82,3.3508E+47,5.26E+88,3.3508E+50,5.26E+94,3.3508E+53,5.26E+100,3.3508E+56,5.26E+106
345.06,5.36E-02,345060,5.36E+04,345060000,5.36E+10,3.4506E+11,5.36E+16,3.4506E+14,5.36E+22,3.4506E+17,5.36E+28,3.4506E+20,5.36E+34,3.4506E+23,5.36E+40,3.4506E+26,5.36E+46,3.4506E+29,5.36E+52,3.4506E+32,5.36E+58,3.4506E+35,5.36E+64,3.4506E+38,5.36E+70,3.4506E+41,5.36E+76,3.4506E+44,5.36E+82,3.4506E+47,5.36E+88,3.4506E+50,5.36E+94,3.4506E+53,5.36E+100,3.4506E+56,5.36E+106
355.01,5.49E-02,355010,5.49E+04,355010000,5.49E+10,3.5501E+11,5.49E+16,3.5501E+14,5.49E+22,3.5501E+17,5.49E+28,3.5501E+20,5.49E+34,3.5501E+23,5.49E+40,3.5501E+26,5.49E+46,3.5501E+29,5.49E+52,3.5501E+32,5.49E+58,3.5501E+35,5.49E+64,3.5501E+38,5.49E+70,3.5501E+41,5.49E+76,3.5501E+44,5.49E+82,3.5501E+47,5.49E+88,3.5501E+50,5.49E+94,3.5501E+53,5.49E+100,3.5501E+56,5.49E+106
364.99,5.58E-02,364990,5.58E+04,364990000,5.58E+10,3.6499E+11,5.58E+16,3.6499E+14,5.58E+22,3.6499E+17,5.58E+28,3.6499E+20,5.58E+34,3.6499E+23,5.58E+40,3.6499E+26,5.58E+46,3.6499E+29,5.58E+52,3.6499E+32,5.58E+58,3.6499E+35,5.58E+64,3.6499E+38,5.58E+70,3.6499E+41,5.58E+76,3.6499E+44,5.58E+82,3.6499E+47,5.58E+88,3.6499E+50,5.58E+94,3.6499E+53,5.58E+100,3.6499E+56,5.58E+106
374.94,5.73E-02,374940,5.73E+04,374940000,5.73E+10,3.7494E+11,5.73E+16,3.7494E+14,5.73E+22,3.7494E+17,5.73E+28,3.7494E+20,5.73E+34,3.7494E+23,5.73E+40,3.7494E+26,5.73E+46,3.7494E+29,5.73E+52,3.7494E+32,5.73E+58,3.7494E+35,5.73E+64,3.7494E+38,5.73E+70,3.7494E+41,5.73E+76,3.7494E+44,5.73E+82,3.7494E+47,5.73E+88,3.7494E+50,5.73E+94,3.7494E+53,5.73E+100,3.7494E+56,5.73E+106
384.92,5.85E-02,384920,5.85E+04,384920000,5.85E+10,3.8492E+11,5.85E+16,3.8492E+14,5.85E+22,3.8492E+17,5.85E+28,3.8492E+20,5.85E+34,3.8492E+23,5.85E+40,3.8492E+26,5.85E+46,3.8492E+29,5.85E+52,3.8492E+32,5.85E+58,3.8492E+35,5.85E+64,3.8492E+38,5.85E+70,3.8492E+41,5.85E+76,3.8492E+44,5.85E+82,3.8492E+47,5.85E+88,3.8492E+50,5.85E+94,3.8492E+53,5.85E+100,3.8492E+56,5.85E+106
394.87,5.95E-02,394870,5.95E+04,394870000,5.95E+10,3.9487E+11,5.95E+16,3.9487E+14,5.95E+22,3.9487E+17,5.95E+28,3.9487E+20,5.95E+34,3.9487E+23,5.95E+40,3.9487E+26,5.95E+46,3.9487E+29,5.95E+52,3.9487E+32,5.95E+58,3.9487E+35,5.95E+64,3.9487E+38,5.95E+70,3.9487E+41,5.95E+76,3.9487E+44,5.95E+82,3.9487E+47,5.95E+88,3.9487E+50,5.95E+94,3.9487E+53,5.95E+100,3.9487E+56,5.95E+106
404.85,6.09E-02,404850,6.09E+04,404850000,6.09E+10,4.0485E+11,6.09E+16,4.0485E+14,6.09E+22,4.0485E+17,6.09E+28,4.0485E+20,6.09E+34,4.0485E+23,6.09E+40,4.0485E+26,6.09E+46,4.0485E+29,6.09E+52,4.0485E+32,6.09E+58,4.0485E+35,6.09E+64,4.0485E+38,6.09E+70,4.0485E+41,6.09E+76,4.0485E+44,6.09E+82,4.0485E+47,6.09E+88,4.0485E+50,6.09E+94,4.0485E+53,6.09E+100,4.0485E+56,6.09E+106
414.79,6.21E-02,414790,6.21E+04,414790000,6.21E+10,4.1479E+11,6.21E+16,4.1479E+14,6.21E+22,4.1479E+17,6.21E+28,4.1479E+20,6.21E+34,4.1479E+23,6.21E+40,4.1479E+26,6.21E+46,4.1479E+29,6.21E+52,4.1479E+32,6.21E+58,4.1479E+35,6.21E+64,4.1479E+38,6.21E+70,4.1479E+41,6.21E+76,4.1479E+44,6.21E+82,4.1479E+47,6.21E+88,4.1479E+50,6.21E+94,4.1479E+53,6.21E+100,4.1479E+56,6.21E+106
424.77,6.35E-02,424770,6.35E+04,424770000,6.35E+10,4.2477E+11,6.35E+16,4.2477E+14,6.35E+22,4.2477E+17,6.35E+28,4.2477E+20,6.35E+34,4.2477E+23,6.35E+40,4.2477E+26,6.35E+46,4.2477E+29,6.35E+52,4.2477E+32,6.35E+58,4.2477E+35,6.35E+64,4.2477E+38,6.35E+70,4.2477E+41,6.35E+76,4.2477E+44,6.35E+82,4.2477E+47,6.35E+88,4.2477E+50,6.35E+94,4.2477E+53,6.35E+100,4.2477E+56,6.35E+106
434.72,6.48E-02,434720,6.48E+04,434720000,6.48E+10,4.3472E+11,6.48E+16,4.3472E+14,6.48E+22,4.3472E+17,6.48E+28,4.3472E+20,6.48E+34,4.3472E+23,6.48E+40,4.3472E+26,6.48E+46,4.3472E+29,6.48E+52,4.3472E+32,6.48E+58,4.3472E+35,6.48E+64,4.3472E+38,6.48E+70,4.3472E+41,6.48E+76,4.3472E+44,6.48E+82,4.3472E+47,6.48E+88,4.3472E+50,6.48E+94,4.3472E+53,6.48E+100,4.3472E+56,6.48E+106
444.7,6.63E-02,444700,6.63E+04,444700000,6.63E+10,4.447E+11,6.63E+16,4.447E+14,6.63E+22,4.447E+17,6.63E+28,4.447E+20,6.63E+34,4.447E+23,6.63E+40,4.447E+26,6.63E+46,4.447E+29,6.63E+52,4.447E+32,6.63E+58,4.447E+35,6.63E+64,4.447E+38,6.63E+70,4.447E+41,6.63E+76,4.447E+44,6.63E+82,4.447E+47,6.63E+88,4.447E+50,6.63E+94,4.447E+53,6.63E+100,4.447E+56,6.63E+106
454.65,6.73E-02,454650,6.73E+04,454650000,6.73E+10,4.5465E+11,6.73E+16,4.5465E+14,6.73E+22,4.5465E+17,6.73E+28,4.5465E+20,6.73E+34,4.5465E+23,6.73E+40,4.5465E+26,6.73E+46,4.5465E+29,6.73E+52,4.5465E+32,6.73E+58,4.5465E+35,6.73E+64,4.5465E+38,6.73E+70,4.5465E+41,6.73E+76,4.5465E+44,6.73E+82,4.5465E+47,6.73E+88,4.5465E+50,6.73E+94,4.5465E+53,6.73E+100,4.5465E+56,6.73E+106
464.63,6.87E-02,464630,6.87E+04,464630000,6.87E+10,4.6463E+11,6.87E+16,4.6463E+14,6.87E+22,4.6463E+17,6.87E+28,4.6463E+20,6.87E+34,4.6463E+23,6.87E+40,4.6463E+26,6.87E+46,4.6463E+29,6.87E+52,4.6463E+32,6.87E+58,4.6463E+35,6.87E+64,4.6463E+38,6.87E+70,4.6463E+41,6.87E+76,4.6463E+44,6.87E+82,4.6463E+47,6.87E+88,4.6463E+50,6.87E+94,4.6463E+53,6.87E+100,4.6463E+56,6.87E+106
474.58,7.02E-02,474580,7.02E+04,474580000,7.02E+10,4.7458E+11,7.02E+16,4.7458E+14,7.02E+22,4.7458E+17,7.02E+28,4.7458E+20,7.02E+34,4.7458E+23,7.02E+40,4.7458E+26,7.02E+46,4.7458E+29,7.02E+52,4.7458E+32,7.02E+58,4.7458E+35,7.02E+64,4.7458E+38,7.02E+70,4.7458E+41,7.02E+76,4.7458E+44,7.02E+82,4.7458E+47,7.02E+88,4.7458E+50,7.02E+94,4.7458E+53,7.02E+100,4.7458E+56,7.02E+106
484.56,7.17E-02,484560,7.17E+04,484560000,7.17E+10,4.8456E+11,7.17E+16,4.8456E+14,7.17E+22,4.8456E+17,7.17E+28,4.8456E+20,7.17E+34,4.8456E+23,7.17E+40,4.8456E+26,7.17E+46,4.8456E+29,7.17E+52,4.8456E+32,7.17E+58,4.8456E+35,7.17E+64,4.8456E+38,7.17E+70,4.8456E+41,7.17E+76,4.8456E+44,7.17E+82,4.8456E+47,7.17E+88,4.8456E+50,7.17E+94,4.8456E+53,7.17E+100,4.8456E+56,7.17E+106
494.54,7.32E-02,494540,7.32E+04,494540000,7.32E+10,4.9454E+11,7.32E+16,4.9454E+14,7.32E+22,4.9454E+17,7.32E+28,4.9454E+20,7.32E+34,4.9454E+23,7.32E+40,4.9454E+26,7.32E+46,4.9454E+29,7.32E+52,4.9454E+32,7.32E+58,4.9454E+35,7.32E+64,4.9454E+38,7.32E+70,4.9454E+41,7.32E+76,4.9454E+44,7.32E+82,4.9454E+47,7.32E+88,4.9454E+50,7.32E+94,4.9454E+53,7.32E+100,4.9454E+56,7.32E+106
